,acc,f1_macro,f1_micro,name,classes,num_size
63,0.7802100238808418,0.4415550457806933,0.4505250597021043,qmug,5,500
64,0.7566833452466046,0.38272458399440035,0.3917083631165118,Lipo,5,500
65,0.6981963927855711,0.19370434304445475,0.24549098196392785,opv,5,100
66,0.7349028840494409,0.3395504417029974,0.3372572101236021,Lipo,5,200
67,0.7800586510263929,0.7691891160146203,0.7800586510263929,photoswitch,2,50
68,0.9191919191919192,0.7964769647696477,0.797979797979798,FreeSolv,5,500
69,0.7025013896609227,0.2317817668172876,0.2562534741523068,Lipo,5,100
70,0.8734693877551021,0.66456628150383,0.6836734693877551,photoswitch,5,200
71,0.7022790439132851,0.24018296638415135,0.2556976097832129,Lipo,5,100
72,0.6855479089465325,0.18723597039081913,0.2138697723663314,Lipo,5,10
73,0.9438775510204082,0.9438643997188012,0.9438775510204082,photoswitch,2,200
74,0.6992348440258976,0.6989307084511658,0.6992348440258976,Lipo,2,200
75,0.6786344908769865,0.6766530308353829,0.6786344908769865,Lipo,2,200
76,0.7301942319011184,0.3253719270633232,0.32548557975279574,Lipo,5,200
77,0.6889643463497453,0.1799587951122478,0.22241086587436332,FreeSolv,5,10
78,0.7515482695810565,0.3775060741072872,0.3788706739526412,FreeSolv,5,50
79,0.5487132352941176,0.5486823530008119,0.5487132352941176,opv,2,10
80,0.9146757679180887,0.9142763519760324,0.9146757679180887,photoswitch,2,100
81,0.6189189189189189,0.5781685870224379,0.6189189189189189,photoswitch,2,20
82,0.4842105263157895,0.3730639730639731,0.4842105263157895,photoswitch,2,10
83,0.6915089237425636,0.19392030282475195,0.22877230935640888,Lipo,5,50
84,0.6785600847009,0.13741814532176747,0.19640021175224986,Lipo,5,10
85,0.6941176470588235,0.22640202499443313,0.23529411764705882,opv,5,10
86,0.7008112493239589,0.22211026405898818,0.25202812330989727,Lipo,5,50
87,0.9151515151515153,0.7892949836734832,0.7878787878787878,FreeSolv,5,500
88,0.7047248471372984,0.25457654179617384,0.26181211784324626,Lipo,5,100
89,0.6986479177934017,0.24738795806432243,0.2466197944835046,Lipo,5,50
90,0.7294879340788699,0.3206922132824012,0.3237198351971748,Lipo,5,200
91,0.7428051001821494,0.35114783740423877,0.3570127504553734,FreeSolv,5,50
92,0.6923664122137405,0.21043288339904892,0.23091603053435114,opv,5,50
